text,label,confidence,source,label_id
well i i don't know how much it helps what's the model.,OPEN_QUESTION,0.9,ICSI_MRDA_corpus,2
so let me pop up a level.,DISCUSSION,0.9,ICSI_MRDA_corpus,4
so like the question is how what features can like do you want to try to extract from say the parse or whatever.,OPEN_QUESTION,0.9,ICSI_MRDA_corpus,2
i mean it'll stop the speech you know if if you press a tab.,DISCUSSION,0.9,ICSI_MRDA_corpus,4
uh and that's probably a reason why yeah online normalization helps because it it,DISCUSSION,0.9,ICSI_MRDA_corpus,4
which probably means like there was a the recording interface crashed.,DISCUSSION,0.9,ICSI_MRDA_corpus,4
it's really the back up issue rather than the file server issue.,DISCUSSION,0.9,ICSI_MRDA_corpus,4
if you wanted if you wanted to transcribe you have the.,DISCUSSION,0.9,ICSI_MRDA_corpus,4
and but it runs much much faster.,DISCUSSION,0.9,ICSI_MRDA_corpus,4
because if you don't do v t l in both systems uh you know the the females are considerably worse in the with the p l p features.,DISCUSSION,0.95,ICSI_MRDA_corpus,4
because because we have an extra month or something.,DISCUSSION,0.9,ICSI_MRDA_corpus,4
i don't know exactly if it's,OPEN_QUESTION,0.9,ICSI_MRDA_corpus,2
so on the t i digits english and on the italian data.,DISCUSSION,0.9,ICSI_MRDA_corpus,4
so i think you're thinking people are going to arbitrarily start bleeping and i just don't think that's going to happen.,DISCUSSION,0.9,ICSI_MRDA_corpus,4
but it's harder for the,DISCUSSION,0.9,ICSI_MRDA_corpus,4
you don't have to be happy.,DISCUSSION,0.9,ICSI_MRDA_corpus,4
but it but that sounds,DISCUSSION,0.9,ICSI_MRDA_corpus,4
so so what are you guys doing?,OPEN_QUESTION,0.95,ICSI_MRDA_corpus,2
so um that's that's the direction which i'm i'm thinking about going in my quals.,DISCUSSION,0.9,ICSI_MRDA_corpus,4
well i'll check on that.,ACTION_ITEM,0.9,ICSI_MRDA_corpus,1
set it's not a it's not a subset of the short s r i hub five set.,DISCUSSION,0.9,ICSI_MRDA_corpus,4
you've been thinking about this problem for a long time actually.,DISCUSSION,0.9,ICSI_MRDA_corpus,4
so the thing that we did is just to add spectral subtraction before this the wall uh process which contains l d a online normalization.,DISCUSSION,0.9,ICSI_MRDA_corpus,4
yeah that's what i tend to do is i use a soundwave.,DISCUSSION,0.9,ICSI_MRDA_corpus,4
so in general it's always going to be the answer is everywhere.,DISCUSSION,0.9,ICSI_MRDA_corpus,4
like the endpoint is not necessarily relevant in the bayes net for where is until after you've decided whether you want to go there or not.,DISCUSSION,0.9,ICSI_MRDA_corpus,4
so if that's at,DISCUSSION,0.9,ICSI_MRDA_corpus,4
and um when we deal with pure reverberation the technique he's using works really really well.,DISCUSSION,0.95,ICSI_MRDA_corpus,4
so you just say you know asterisk e. asterisk dot wave and you get what you want.,DISCUSSION,0.9,ICSI_MRDA_corpus,4
well and what and what's northern?,OPEN_QUESTION,0.9,ICSI_MRDA_corpus,2
we can do a realignment.,DECISION,0.85,ICSI_MRDA_corpus,0
oh you were there.,DISCUSSION,1.0,ICSI_MRDA_corpus,4
but it's just not overtly in the,DISCUSSION,0.95,ICSI_MRDA_corpus,4
because if you start talking about these you know,DISCUSSION,0.9,ICSI_MRDA_corpus,4
so uh we are committed for our funding.,DECISION,0.9,ICSI_MRDA_corpus,0
but somehow percent is not so hard you know?,DISCUSSION,0.9,ICSI_MRDA_corpus,4
or any of these other ones of of multiple models.,DISCUSSION,0.9,ICSI_MRDA_corpus,4
but i i was hoping we could just do a test and determine if that was true.,DISCUSSION,0.9,ICSI_MRDA_corpus,4
so um the audio that they're going to have access to will that be the uncompressed version?,OPEN_QUESTION,0.95,ICSI_MRDA_corpus,2
although you've probably seen them.,DISCUSSION,0.9,ICSI_MRDA_corpus,4
so it's not it's not um,DISCUSSION,0.9,ICSI_MRDA_corpus,4
and if there isn't one we'd get the type.,DISCUSSION,0.9,ICSI_MRDA_corpus,4
and also we've done digits as well.,DISCUSSION,0.9,ICSI_MRDA_corpus,4
but yeah so far he hadn't gotten any big improvement.,DISCUSSION,0.95,ICSI_MRDA_corpus,4
so you meant just sort of like a just a normal uh?,DISCUSSION,0.9,ICSI_MRDA_corpus,4
um that we at least decided on.,DECISION,0.9,ICSI_MRDA_corpus,0
you said you're busy over until the weekend right?,OPEN_QUESTION,0.9,ICSI_MRDA_corpus,2
and you know what,DISCUSSION,0.9,ICSI_MRDA_corpus,4
yeah one can imagine the problems that that would engender.,DISCUSSION,0.9,ICSI_MRDA_corpus,4
but things you can be interested in.,DISCUSSION,0.95,ICSI_MRDA_corpus,4
from the discourse that,DISCUSSION,0.9,ICSI_MRDA_corpus,4
maybe that they're a lot worse.,DISCUSSION,0.9,ICSI_MRDA_corpus,4
i mean if we need to we can buy a disk hang it off a uh workstation.,DISCUSSION,0.9,ICSI_MRDA_corpus,4
so just update all the naming conventions.,ACTION_ITEM,0.9,ICSI_MRDA_corpus,1
so maybe it would be a better idea now than it was before to uh have uh one k.l.t. over everything.,DISCUSSION,0.9,ICSI_MRDA_corpus,4
i mean that would just be a um,DISCUSSION,0.9,ICSI_MRDA_corpus,4
so the so the sets so the test sets are between five hundred and two thousand sentences let's say.,DISCUSSION,0.9,ICSI_MRDA_corpus,4
i.e. the context dependent stuff.,DISCUSSION,0.95,ICSI_MRDA_corpus,4
and so theirs are sort of twice as long.,DISCUSSION,0.9,ICSI_MRDA_corpus,4
this is uh is he here too?,OPEN_QUESTION,0.9,ICSI_MRDA_corpus,2
then it then it falls back this way so it's,DISCUSSION,0.9,ICSI_MRDA_corpus,4
it lead us it if we,DISCUSSION,0.9,ICSI_MRDA_corpus,4
we can just rename that yeah.,DECISION,0.9,ICSI_MRDA_corpus,0
i mean i when you first said do do it um spoken what i was thinking is oh then people have to come up.,DISCUSSION,0.9,ICSI_MRDA_corpus,4
that's why there's so many insertion errors.,DISCUSSION,0.9,ICSI_MRDA_corpus,4
so yeah we're sort of committed to x.m.l. as the kind of uh interchange.,DECISION,0.85,ICSI_MRDA_corpus,0
even though automatically to look at the habits we would need to also first figure that out.,DISCUSSION,0.9,ICSI_MRDA_corpus,4
so you know what we're we're basically doing is is waiting to look at the pilot and see what people want to do.,DISCUSSION,0.9,ICSI_MRDA_corpus,4
well they been using timit.,DISCUSSION,0.9,ICSI_MRDA_corpus,4
she she's done one she's one,DISCUSSION,0.9,ICSI_MRDA_corpus,4
i mean are we trying to do them in synchrony?,OPEN_QUESTION,0.95,ICSI_MRDA_corpus,2
because with the close talking mikes the the signal will be so much stronger.,DISCUSSION,0.95,ICSI_MRDA_corpus,4
so you could have some file that configures how much information you want in your in your x.m.l. or something.,DISCUSSION,0.9,ICSI_MRDA_corpus,4
i was just going to say maybe fifteen minutes later would help me a little bit.,DEFERRAL,0.9,ICSI_MRDA_corpus,3
and more and more every day.,DISCUSSION,0.9,ICSI_MRDA_corpus,4
uh i'm just saying if in fact it turns out that that these echoes that you're hearing are uh,DISCUSSION,0.9,ICSI_MRDA_corpus,4
but not of reverberation.,DISCUSSION,0.9,ICSI_MRDA_corpus,4
so praat may not be,DISCUSSION,0.9,ICSI_MRDA_corpus,4
i i mean what what happen with the uh the uh the uh the the clustering process?,OPEN_QUESTION,0.9,ICSI_MRDA_corpus,2
yeah we're using those for the for the expanded.,DECISION,0.9,ICSI_MRDA_corpus,0
well well it's sort of related.,DISCUSSION,0.9,ICSI_MRDA_corpus,4
but i don't know if it's if it's essential.,DISCUSSION,0.9,ICSI_MRDA_corpus,4
i mean that's like the bigger um version of it.,DISCUSSION,0.9,ICSI_MRDA_corpus,4
so what i should do is just print out a whole stack and leave them up here.,ACTION_ITEM,0.9,ICSI_MRDA_corpus,1
i guess we could try.,DISCUSSION,0.9,ICSI_MRDA_corpus,4
who a. did like what we did.,DISCUSSION,0.9,ICSI_MRDA_corpus,4
or or even or even there was a a line you know about how huh uhhuh bill gates duh duh duh duh,DISCUSSION,0.9,ICSI_MRDA_corpus,4
at that point where you can really lock a file.,DISCUSSION,0.9,ICSI_MRDA_corpus,4
so somehow if once he gets going we're going to have to come up with one.,DISCUSSION,0.9,ICSI_MRDA_corpus,4
and then there's also a set of system things that come up.,DISCUSSION,0.9,ICSI_MRDA_corpus,4
i do that with the mouse yeah.,DISCUSSION,0.9,ICSI_MRDA_corpus,4
a part of it is just the distance.,DISCUSSION,0.95,ICSI_MRDA_corpus,4
like are we adapting to it?,OPEN_QUESTION,0.95,ICSI_MRDA_corpus,2
and then uh we talked a little bit about whether to do how we get at the background.,DISCUSSION,0.9,ICSI_MRDA_corpus,4
but it's it's unfortunately this is not really something a tourist would ever say.,DISCUSSION,0.9,ICSI_MRDA_corpus,4
not a landmark at all.,DISCUSSION,0.9,ICSI_MRDA_corpus,4
well we've collected so far something like uh sixty five meetings.,DISCUSSION,0.9,ICSI_MRDA_corpus,4
so i guess we'll try to write this eurospeech paper.,DECISION,0.9,ICSI_MRDA_corpus,0
